data_referencia,ano,mes,uf,municipio,populacao,total_violencia_grave,contagem_violencia_12m,maximo_12m_ate_data_consulta,alerta_violencia_grave_proximos_6m,probabilidade_alerta,alerta_previsto,tipo_resultado,faixa_populacao,faixa_maximo_historico,faixa_ocorrencias_12m
2020-01-01,2020,1,PR,ABATIA,7457,0,0.0,0.0,0,0.34426522770565093,1,falso_positivo,01_ate_10_mil,00,00
2020-02-01,2020,2,PR,ABATIA,7457,0,0.0,0.0,0,0.33100207493067535,1,falso_positivo,01_ate_10_mil,00,00
2020-03-01,2020,3,PR,ABATIA,7457,0,0.0,0.0,1,0.33100207493067535,1,verdadeiro_positivo,01_ate_10_mil,00,00
2020-04-01,2020,4,PR,ABATIA,7457,0,0.0,0.0,1,0.33100207493067535,1,verdadeiro_positivo,01_ate_10_mil,00,00
2020-05-01,2020,5,PR,ABATIA,7457,0,0.0,0.0,1,0.33100207493067535,1,verdadeiro_positivo,01_ate_10_mil,00,00
2020-06-01,2020,6,PR,ABATIA,7457,0,0.0,0.0,1,0.3366873223328337,1,verdadeiro_positivo,01_ate_10_mil,00,00
2020-07-01,2020,7,PR,ABATIA,7457,0,0.0,0.0,1,0.325328454422884,1,verdadeiro_positivo,01_ate_10_mil,00,00
2020-08-01,2020,8,PR,ABATIA,7457,0,0.0,0.0,1,0.32944287873181904,1,verdadeiro_positivo,01_ate_10_mil,00,00
2020-09-01,2020,9,PR,ABATIA,7457,1,1.0,1.0,0,0.06306869470726605,0,verdadeiro_negativo,01_ate_10_mil,01,01
2020-10-01,2020,10,PR,ABATIA,7457,0,1.0,1.0,0,0.05145814002782552,0,verdadeiro_negativo,01_ate_10_mil,01,01
2020-11-01,2020,11,PR,ABATIA,7457,0,1.0,1.0,0,0.06365256803156731,0,verdadeiro_negativo,01_ate_10_mil,01,01
2020-12-01,2020,12,PR,ABATIA,7457,0,1.0,1.0,0,0.08572043342969805,0,verdadeiro_negativo,01_ate_10_mil,01,01
2020-01-01,2020,1,PR,ADRIANOPOLIS,5919,0,3.0,1.0,0,0.10383246662176993,0,verdadeiro_negativo,01_ate_10_mil,01,02_a_03
2020-02-01,2020,2,PR,ADRIANOPOLIS,5919,0,2.0,1.0,0,0.05891072798252092,0,verdadeiro_negativo,01_ate_10_mil,01,02_a_03
2020-03-01,2020,3,PR,ADRIANOPOLIS,5919,0,2.0,1.0,0,0.06190594655816485,0,verdadeiro_negativo,01_ate_10_mil,01,02_a_03
2020-04-01,2020,4,PR,ADRIANOPOLIS,5919,0,2.0,1.0,0,0.05419113347203891,0,verdadeiro_negativo,01_ate_10_mil,01,02_a_03
2020-05-01,2020,5,PR,ADRIANOPOLIS,5919,0,2.0,1.0,0,0.05419113347203891,0,verdadeiro_negativo,01_ate_10_mil,01,02_a_03
2020-06-01,2020,6,PR,ADRIANOPOLIS,5919,0,2.0,1.0,0,0.05653787281973193,0,verdadeiro_negativo,01_ate_10_mil,01,02_a_03
