uf,municipio,data_referencia,total_violencia_grave,maximo_historico_ate_mes_anterior,alto_risco_violencia_grave,probabilidade_alerta,alerta_previsto
PR,ABATIA,2024-01-01,0,1.0,0,0.25310565002833557,1
PR,ABATIA,2024-02-01,0,1.0,0,0.23685899300586855,1
PR,ABATIA,2024-03-01,0,1.0,0,0.22327138002997557,1
PR,ABATIA,2024-04-01,0,1.0,0,0.20218260941601696,1
PR,ABATIA,2024-05-01,0,1.0,0,0.15810308052763028,0
PR,ABATIA,2024-06-01,0,1.0,0,0.13978882424992398,0
PR,ABATIA,2024-07-01,0,1.0,0,0.12659691733921305,0
PR,ABATIA,2024-08-01,1,1.0,0,0.10928303450849866,0
PR,ABATIA,2024-09-01,0,1.0,0,0.2182716143485884,1
PR,ABATIA,2024-10-01,0,1.0,0,0.16710397519212966,0
PR,ABATIA,2024-11-01,0,1.0,0,0.17314945491243136,0
PR,ABATIA,2024-12-01,0,1.0,0,0.18117791710753445,1
PR,ABATIA,2025-01-01,0,1.0,0,0.1928979929510183,1
PR,ABATIA,2025-02-01,0,1.0,0,0.19468817347929865,1
PR,ABATIA,2025-03-01,1,1.0,0,0.16311073575885612,0
PR,ABATIA,2025-04-01,0,1.0,0,0.2666931500044805,1
PR,ABATIA,2025-05-01,0,1.0,0,0.1677191148209384,0
PR,ABATIA,2025-06-01,0,1.0,0,0.14714874729489177,0
PR,ABATIA,2025-07-01,0,1.0,0,0.12743918405115473,0
PR,ABATIA,2025-08-01,0,1.0,0,0.12321150569725661,0
PR,ABATIA,2025-09-01,0,1.0,0,0.12099416699383204,0
PR,ABATIA,2025-10-01,0,1.0,0,0.11920714922744886,0
PR,ABATIA,2025-11-01,0,1.0,0,0.13548509860577956,0
PR,ABATIA,2025-12-01,0,1.0,0,0.15148329099986713,0
PR,ADRIANOPOLIS,2024-01-01,1,2.0,0,0.08431017582499223,0
PR,ADRIANOPOLIS,2024-02-01,0,2.0,0,0.1622872008477698,0
PR,ADRIANOPOLIS,2024-03-01,0,2.0,0,0.11896653779901138,0
PR,ADRIANOPOLIS,2024-04-01,0,2.0,0,0.10442292604087973,0
PR,ADRIANOPOLIS,2024-05-01,0,2.0,0,0.08430632219837227,0
PR,ADRIANOPOLIS,2024-06-01,0,2.0,0,0.07379123434844279,0
PR,ADRIANOPOLIS,2024-07-01,0,2.0,0,0.0684231419251671,0
PR,ADRIANOPOLIS,2024-08-01,0,2.0,0,0.05921489150138936,0
PR,ADRIANOPOLIS,2024-09-01,0,2.0,0,0.06278722467728838,0
PR,ADRIANOPOLIS,2024-10-01,1,2.0,0,0.07034757670670218,0
PR,ADRIANOPOLIS,2024-11-01,2,2.0,0,0.12214689531946582,0
PR,ADRIANOPOLIS,2024-12-01,0,2.0,0,0.27866649575543073,1
