codigo_ibge,uf,municipio_ibge,municipio_normalizado,ano_populacao,populacao
4100103,PR,Abatiá,ABATIA,2013,7881
4100103,PR,Abatiá,ABATIA,2014,7852
4100103,PR,Abatiá,ABATIA,2015,7823
4100103,PR,Abatiá,ABATIA,2016,7795
4100103,PR,Abatiá,ABATIA,2017,7768
4100103,PR,Abatiá,ABATIA,2018,7507
4100103,PR,Abatiá,ABATIA,2019,7457
4100103,PR,Abatiá,ABATIA,2020,7408
4100103,PR,Abatiá,ABATIA,2021,7360
4100202,PR,Adrianópolis,ADRIANOPOLIS,2013,6416
4100202,PR,Adrianópolis,ADRIANOPOLIS,2014,6374
4100202,PR,Adrianópolis,ADRIANOPOLIS,2015,6333
4100202,PR,Adrianópolis,ADRIANOPOLIS,2016,6293
4100202,PR,Adrianópolis,ADRIANOPOLIS,2017,6254
4100202,PR,Adrianópolis,ADRIANOPOLIS,2018,5983
4100202,PR,Adrianópolis,ADRIANOPOLIS,2019,5919
4100202,PR,Adrianópolis,ADRIANOPOLIS,2020,5857
4100202,PR,Adrianópolis,ADRIANOPOLIS,2021,5797
4100301,PR,Agudos do Sul,AGUDOS DO SUL,2013,8797
4100301,PR,Agudos do Sul,AGUDOS DO SUL,2014,8892
4100301,PR,Agudos do Sul,AGUDOS DO SUL,2015,8983
4100301,PR,Agudos do Sul,AGUDOS DO SUL,2016,9073
4100301,PR,Agudos do Sul,AGUDOS DO SUL,2017,9161
4100301,PR,Agudos do Sul,AGUDOS DO SUL,2018,9269
4100301,PR,Agudos do Sul,AGUDOS DO SUL,2019,9371
4100301,PR,Agudos do Sul,AGUDOS DO SUL,2020,9470
4100301,PR,Agudos do Sul,AGUDOS DO SUL,2021,9567
4100400,PR,Almirante Tamandaré,ALMIRANTE TAMANDARE,2013,110256
4100400,PR,Almirante Tamandaré,ALMIRANTE TAMANDARE,2014,111586
4100400,PR,Almirante Tamandaré,ALMIRANTE TAMANDARE,2015,112870
4100400,PR,Almirante Tamandaré,ALMIRANTE TAMANDARE,2016,114129
4100400,PR,Almirante Tamandaré,ALMIRANTE TAMANDARE,2017,115364
4100400,PR,Almirante Tamandaré,ALMIRANTE TAMANDARE,2018,117168
4100400,PR,Almirante Tamandaré,ALMIRANTE TAMANDARE,2019,118623
4100400,PR,Almirante Tamandaré,ALMIRANTE TAMANDARE,2020,120041
4100400,PR,Almirante Tamandaré,ALMIRANTE TAMANDARE,2021,121420
4100459,PR,Altamira do Paraná,ALTAMIRA DO PARANA,2013,3754
4100459,PR,Altamira do Paraná,ALTAMIRA DO PARANA,2014,3544
4100459,PR,Altamira do Paraná,ALTAMIRA DO PARANA,2015,3341
4100459,PR,Altamira do Paraná,ALTAMIRA DO PARANA,2016,3143
4100459,PR,Altamira do Paraná,ALTAMIRA DO PARANA,2017,2948
4100459,PR,Altamira do Paraná,ALTAMIRA DO PARANA,2018,2209
4100459,PR,Altamira do Paraná,ALTAMIRA DO PARANA,2019,1942
4100459,PR,Altamira do Paraná,ALTAMIRA DO PARANA,2020,1682
4100459,PR,Altamira do Paraná,ALTAMIRA DO PARANA,2021,1429
4128625,PR,Alto Paraíso,ALTO PARAISO,2013,3159
