uf,municipio,data_referencia,total_violencia_grave,maximo_12m_ate_data_consulta,maximo_real_proximos_6m,data_fim_horizonte,alerta_violencia_grave_proximos_6m,probabilidade_alerta,alerta_previsto
PR,ABATIA,2024-07-01,0,1.0,1.0,2025-01-01,0,0.15894235276202887,1
PR,ABATIA,2024-08-01,1,1.0,0.0,2025-02-01,0,0.18613350465139802,1
PR,ABATIA,2024-09-01,0,1.0,1.0,2025-03-01,0,0.17198173609873618,1
PR,ABATIA,2024-10-01,0,1.0,1.0,2025-04-01,0,0.1672214916446291,1
PR,ABATIA,2024-11-01,0,1.0,1.0,2025-05-01,0,0.11190495684360761,1
PR,ABATIA,2024-12-01,0,1.0,1.0,2025-06-01,0,0.102444825243569,0
PR,ABATIA,2025-01-01,0,1.0,1.0,2025-07-01,0,0.09895114781942095,0
PR,ABATIA,2025-02-01,0,1.0,1.0,2025-08-01,0,0.09848005467361826,0
PR,ABATIA,2025-03-01,1,1.0,0.0,2025-09-01,0,0.18076806159264794,1
PR,ABATIA,2025-04-01,0,1.0,0.0,2025-10-01,0,0.1615394713990845,1
PR,ABATIA,2025-05-01,0,1.0,0.0,2025-11-01,0,0.1577151963724482,1
PR,ABATIA,2025-06-01,0,1.0,0.0,2025-12-01,0,0.15617990408192475,1
PR,ADRIANOPOLIS,2024-07-01,0,1.0,2.0,2025-01-01,1,0.10482774780663495,0
PR,ADRIANOPOLIS,2024-08-01,0,1.0,2.0,2025-02-01,1,0.10600111731042404,0
PR,ADRIANOPOLIS,2024-09-01,0,1.0,2.0,2025-03-01,1,0.10600111731042404,0
PR,ADRIANOPOLIS,2024-10-01,1,1.0,2.0,2025-04-01,1,0.18296899483377105,1
PR,ADRIANOPOLIS,2024-11-01,2,2.0,1.0,2025-05-01,0,0.15299201035342982,1
PR,ADRIANOPOLIS,2024-12-01,0,2.0,1.0,2025-06-01,0,0.10784602341535321,0
PR,ADRIANOPOLIS,2025-01-01,0,2.0,1.0,2025-07-01,0,0.12160406553744964,1
PR,ADRIANOPOLIS,2025-02-01,1,2.0,0.0,2025-08-01,0,0.10397726398386366,0
PR,ADRIANOPOLIS,2025-03-01,0,2.0,0.0,2025-09-01,0,0.0719257194573531,0
PR,ADRIANOPOLIS,2025-04-01,0,2.0,1.0,2025-10-01,0,0.07127761800059142,0
PR,ADRIANOPOLIS,2025-05-01,0,2.0,1.0,2025-11-01,0,0.07829005904277932,0
PR,ADRIANOPOLIS,2025-06-01,0,2.0,1.0,2025-12-01,0,0.06430766980374793,0
PR,AGUDOS DO SUL,2024-07-01,0,1.0,1.0,2025-01-01,0,0.2172236302436862,1
PR,AGUDOS DO SUL,2024-08-01,0,1.0,1.0,2025-02-01,0,0.22075555748211848,1
PR,AGUDOS DO SUL,2024-09-01,0,1.0,1.0,2025-03-01,0,0.23796804808744182,1
PR,AGUDOS DO SUL,2024-10-01,0,1.0,1.0,2025-04-01,0,0.17446575202565628,1
PR,AGUDOS DO SUL,2024-11-01,0,0.0,1.0,2025-05-01,1,0.38370475818710525,1
PR,AGUDOS DO SUL,2024-12-01,0,0.0,1.0,2025-06-01,1,0.31204106306899015,1
PR,AGUDOS DO SUL,2025-01-01,1,1.0,1.0,2025-07-01,0,0.1498935495602457,1
