uf,municipio,data_referencia,ano,mes,total_violencia_grave,homicidio_doloso,latrocinio,tentativa_homicidio,lesao_corporal_seguida_morte,feminicidio,municipio_normalizado,ano_populacao,codigo_ibge,populacao,meses_historico,maximo_12m_ate_data_consulta,soma_violencia_grave_proximos_6m,meses_com_violencia_grave_proximos_6m,taxa_violencia_grave_proximos_6m_100k,data_fim_horizonte,alerta_taxa_violencia_grave_proximos_6m
PR,ABATIA,2015-01-01,2015,1,0,0,0,0,0,0,ABATIA,2014,4100103,7852,1,,0.0,0,0.0,2015-07-01,
PR,ABATIA,2015-02-01,2015,2,0,0,0,0,0,0,ABATIA,2014,4100103,7852,2,,0.0,0,0.0,2015-08-01,
PR,ABATIA,2015-03-01,2015,3,0,0,0,0,0,0,ABATIA,2014,4100103,7852,3,,0.0,0,0.0,2015-09-01,
PR,ABATIA,2015-04-01,2015,4,0,0,0,0,0,0,ABATIA,2014,4100103,7852,4,,0.0,0,0.0,2015-10-01,
PR,ABATIA,2015-05-01,2015,5,0,0,0,0,0,0,ABATIA,2014,4100103,7852,5,,0.0,0,0.0,2015-11-01,
PR,ABATIA,2015-06-01,2015,6,0,0,0,0,0,0,ABATIA,2014,4100103,7852,6,,0.0,0,0.0,2015-12-01,
PR,ABATIA,2015-07-01,2015,7,0,0,0,0,0,0,ABATIA,2014,4100103,7852,7,,0.0,0,0.0,2016-01-01,
PR,ABATIA,2015-08-01,2015,8,0,0,0,0,0,0,ABATIA,2014,4100103,7852,8,,0.0,0,0.0,2016-02-01,
PR,ABATIA,2015-09-01,2015,9,0,0,0,0,0,0,ABATIA,2014,4100103,7852,9,,0.0,0,0.0,2016-03-01,
PR,ABATIA,2015-10-01,2015,10,0,0,0,0,0,0,ABATIA,2014,4100103,7852,10,,0.0,0,0.0,2016-04-01,
PR,ABATIA,2015-11-01,2015,11,0,0,0,0,0,0,ABATIA,2014,4100103,7852,11,,0.0,0,0.0,2016-05-01,
PR,ABATIA,2015-12-01,2015,12,0,0,0,0,0,0,ABATIA,2014,4100103,7852,12,0.0,0.0,0,0.0,2016-06-01,0
PR,ABATIA,2016-01-01,2016,1,0,0,0,0,0,0,ABATIA,2015,4100103,7823,13,0.0,0.0,0,0.0,2016-07-01,0
PR,ABATIA,2016-02-01,2016,2,0,0,0,0,0,0,ABATIA,2015,4100103,7823,14,0.0,0.0,0,0.0,2016-08-01,0
