uf,municipio,data_referencia,ano,mes,total_violencia_grave,homicidio_doloso,latrocinio,tentativa_homicidio,lesao_corporal_seguida_morte,feminicidio,meses_historico,media_historica_ate_mes_anterior,alto_risco_violencia_grave
PR,ABATIA,2015-01-01,2015,1,0,0,0,0,0,0,0,,
PR,ABATIA,2015-02-01,2015,2,0,0,0,0,0,0,1,0.0,0
PR,ABATIA,2015-03-01,2015,3,0,0,0,0,0,0,2,0.0,0
PR,ABATIA,2015-04-01,2015,4,0,0,0,0,0,0,3,0.0,0
PR,ABATIA,2015-05-01,2015,5,0,0,0,0,0,0,4,0.0,0
PR,ABATIA,2015-06-01,2015,6,0,0,0,0,0,0,5,0.0,0
PR,ABATIA,2015-07-01,2015,7,0,0,0,0,0,0,6,0.0,0
PR,ABATIA,2015-08-01,2015,8,0,0,0,0,0,0,7,0.0,0
PR,ABATIA,2015-09-01,2015,9,0,0,0,0,0,0,8,0.0,0
PR,ABATIA,2015-10-01,2015,10,0,0,0,0,0,0,9,0.0,0
PR,ABATIA,2015-11-01,2015,11,0,0,0,0,0,0,10,0.0,0
PR,ABATIA,2015-12-01,2015,12,0,0,0,0,0,0,11,0.0,0
PR,ABATIA,2016-01-01,2016,1,0,0,0,0,0,0,12,0.0,0
PR,ABATIA,2016-02-01,2016,2,0,0,0,0,0,0,13,0.0,0
PR,ABATIA,2016-03-01,2016,3,0,0,0,0,0,0,14,0.0,0
PR,ABATIA,2016-04-01,2016,4,0,0,0,0,0,0,15,0.0,0
PR,ABATIA,2016-05-01,2016,5,0,0,0,0,0,0,16,0.0,0
PR,ABATIA,2016-06-01,2016,6,0,0,0,0,0,0,17,0.0,0
PR,ABATIA,2016-07-01,2016,7,0,0,0,0,0,0,18,0.0,0
PR,ABATIA,2016-08-01,2016,8,0,0,0,0,0,0,19,0.0,0
PR,ABATIA,2016-09-01,2016,9,0,0,0,0,0,0,20,0.0,0
PR,ABATIA,2016-10-01,2016,10,0,0,0,0,0,0,21,0.0,0
PR,ABATIA,2016-11-01,2016,11,0,0,0,0,0,0,22,0.0,0
PR,ABATIA,2016-12-01,2016,12,0,0,0,0,0,0,23,0.0,0
PR,ABATIA,2017-01-01,2017,1,0,0,0,0,0,0,24,0.0,0
PR,ABATIA,2017-02-01,2017,2,1,1,0,0,0,0,25,0.0,1
PR,ABATIA,2017-03-01,2017,3,0,0,0,0,0,0,26,0.038461538461538464,0
PR,ABATIA,2017-04-01,2017,4,0,0,0,0,0,0,27,0.037037037037037035,0
PR,ABATIA,2017-05-01,2017,5,0,0,0,0,0,0,28,0.03571428571428571,0
PR,ABATIA,2017-06-01,2017,6,0,0,0,0,0,0,29,0.034482758620689655,0
PR,ABATIA,2017-07-01,2017,7,0,0,0,0,0,0,30,0.03333333333333333,0
PR,ABATIA,2017-08-01,2017,8,0,0,0,0,0,0,31,0.03225806451612903,0
PR,ABATIA,2017-09-01,2017,9,0,0,0,0,0,0,32,0.03125,0
PR,ABATIA,2017-10-01,2017,10,0,0,0,0,0,0,33,0.030303030303030304,0
PR,ABATIA,2017-11-01,2017,11,0,0,0,0,0,0,34,0.029411764705882353,0
PR,ABATIA,2017-12-01,2017,12,0,0,0,0,0,0,35,0.02857142857142857,0
PR,ABATIA,2018-01-01,2018,1,0,0,0,0,0,0,36,0.027777777777777776,0
PR,ABATIA,2018-02-01,2018,2,0,0,0,0,0,0,37,0.02702702702702703,0
PR,ABATIA,2018-03-01,2018,3,0,0,0,0,0,0,38,0.02631578947368421,0
PR,ABATIA,2018-04-01,2018,4,0,0,0,0,0,0,39,0.02564102564102564,0
PR,ABATIA,2018-05-01,2018,5,0,0,0,0,0,0,40,0.025,0
PR,ABATIA,2018-06-01,2018,6,0,0,0,0,0,0,41,0.024390243902439025,0
PR,ABATIA,2018-07-01,2018,7,0,0,0,0,0,0,42,0.023809523809523808,0
PR,ABATIA,2018-08-01,2018,8,0,0,0,0,0,0,43,0.023255813953488372,0
PR,ABATIA,2018-09-01,2018,9,0,0,0,0,0,0,44,0.022727272727272728,0
PR,ABATIA,2018-10-01,2018,10,1,1,0,0,0,0,45,0.022222222222222223,1
PR,ABATIA,2018-11-01,2018,11,0,0,0,0,0,0,46,0.043478260869565216,0
PR,ABATIA,2018-12-01,2018,12,0,0,0,0,0,0,47,0.0425531914893617,0
PR,ABATIA,2019-01-01,2019,1,0,0,0,0,0,0,48,0.041666666666666664,0
PR,ABATIA,2019-02-01,2019,2,0,0,0,0,0,0,49,0.04081632653061224,0
PR,ABATIA,2019-03-01,2019,3,0,0,0,0,0,0,50,0.04,0
PR,ABATIA,2019-04-01,2019,4,0,0,0,0,0,0,51,0.0392156862745098,0
PR,ABATIA,2019-05-01,2019,5,0,0,0,0,0,0,52,0.038461538461538464,0
PR,ABATIA,2019-06-01,2019,6,0,0,0,0,0,0,53,0.03773584905660377,0
PR,ABATIA,2019-07-01,2019,7,0,0,0,0,0,0,54,0.037037037037037035,0
PR,ABATIA,2019-08-01,2019,8,0,0,0,0,0,0,55,0.03636363636363636,0
PR,ABATIA,2019-09-01,2019,9,0,0,0,0,0,0,56,0.03571428571428571,0
PR,ABATIA,2019-10-01,2019,10,0,0,0,0,0,0,57,0.03508771929824561,0
PR,ABATIA,2019-11-01,2019,11,0,0,0,0,0,0,58,0.034482758620689655,0
PR,ABATIA,2019-12-01,2019,12,0,0,0,0,0,0,59,0.03389830508474576,0
PR,ABATIA,2020-01-01,2020,1,0,0,0,0,0,0,60,0.03333333333333333,0
PR,ABATIA,2020-02-01,2020,2,0,0,0,0,0,0,61,0.03278688524590164,0
PR,ABATIA,2020-03-01,2020,3,0,0,0,0,0,0,62,0.03225806451612903,0
PR,ABATIA,2020-04-01,2020,4,0,0,0,0,0,0,63,0.031746031746031744,0
PR,ABATIA,2020-05-01,2020,5,0,0,0,0,0,0,64,0.03125,0
PR,ABATIA,2020-06-01,2020,6,0,0,0,0,0,0,65,0.03076923076923077,0
PR,ABATIA,2020-07-01,2020,7,0,0,0,0,0,0,66,0.030303030303030304,0
PR,ABATIA,2020-08-01,2020,8,0,0,0,0,0,0,67,0.029850746268656716,0
PR,ABATIA,2020-09-01,2020,9,1,1,0,0,0,0,68,0.029411764705882353,1
PR,ABATIA,2020-10-01,2020,10,0,0,0,0,0,0,69,0.043478260869565216,0
PR,ABATIA,2020-11-01,2020,11,0,0,0,0,0,0,70,0.04285714285714286,0
PR,ABATIA,2020-12-01,2020,12,0,0,0,0,0,0,71,0.04225352112676056,0
PR,ABATIA,2021-01-01,2021,1,1,0,0,1,0,0,72,0.041666666666666664,1
PR,ABATIA,2021-02-01,2021,2,0,0,0,0,0,0,73,0.0547945205479452,0
PR,ABATIA,2021-03-01,2021,3,0,0,0,0,0,0,74,0.05405405405405406,0
PR,ABATIA,2021-04-01,2021,4,0,0,0,0,0,0,75,0.05333333333333334,0
PR,ABATIA,2021-05-01,2021,5,0,0,0,0,0,0,76,0.05263157894736842,0
PR,ABATIA,2021-06-01,2021,6,0,0,0,0,0,0,77,0.05194805194805195,0
PR,ABATIA,2021-07-01,2021,7,0,0,0,0,0,0,78,0.05128205128205128,0
PR,ABATIA,2021-08-01,2021,8,0,0,0,0,0,0,79,0.05063291139240506,0
PR,ABATIA,2021-09-01,2021,9,0,0,0,0,0,0,80,0.05,0
PR,ABATIA,2021-10-01,2021,10,0,0,0,0,0,0,81,0.04938271604938271,0
PR,ABATIA,2021-11-01,2021,11,0,0,0,0,0,0,82,0.04878048780487805,0
PR,ABATIA,2021-12-01,2021,12,1,1,0,0,0,0,83,0.04819277108433735,1
PR,ABATIA,2022-01-01,2022,1,0,0,0,0,0,0,84,0.05952380952380952,0
PR,ABATIA,2022-02-01,2022,2,0,0,0,0,0,0,85,0.058823529411764705,0
PR,ABATIA,2022-03-01,2022,3,0,0,0,0,0,0,86,0.05813953488372093,0
PR,ABATIA,2022-04-01,2022,4,0,0,0,0,0,0,87,0.05747126436781609,0
PR,ABATIA,2022-05-01,2022,5,0,0,0,0,0,0,88,0.056818181818181816,0
PR,ABATIA,2022-06-01,2022,6,0,0,0,0,0,0,89,0.056179775280898875,0
PR,ABATIA,2022-07-01,2022,7,0,0,0,0,0,0,90,0.05555555555555555,0
PR,ABATIA,2022-08-01,2022,8,0,0,0,0,0,0,91,0.054945054945054944,0
PR,ABATIA,2022-09-01,2022,9,0,0,0,0,0,0,92,0.05434782608695652,0
PR,ABATIA,2022-10-01,2022,10,0,0,0,0,0,0,93,0.053763440860215055,0
PR,ABATIA,2022-11-01,2022,11,0,0,0,0,0,0,94,0.05319148936170213,0
PR,ABATIA,2022-12-01,2022,12,1,0,0,0,0,1,95,0.05263157894736842,1
PR,ABATIA,2023-01-01,2023,1,0,0,0,0,0,0,96,0.0625,0
PR,ABATIA,2023-02-01,2023,2,0,0,0,0,0,0,97,0.061855670103092786,0
PR,ABATIA,2023-03-01,2023,3,0,0,0,0,0,0,98,0.061224489795918366,0
PR,ABATIA,2023-04-01,2023,4,0,0,0,0,0,0,99,0.06060606060606061,0
PR,ABATIA,2023-05-01,2023,5,0,0,0,0,0,0,100,0.06,0
PR,ABATIA,2023-06-01,2023,6,0,0,0,0,0,0,101,0.0594059405940594,0
PR,ABATIA,2023-07-01,2023,7,1,0,1,0,0,0,102,0.058823529411764705,1
PR,ABATIA,2023-08-01,2023,8,0,0,0,0,0,0,103,0.06796116504854369,0
PR,ABATIA,2023-09-01,2023,9,0,0,0,0,0,0,104,0.0673076923076923,0
PR,ABATIA,2023-10-01,2023,10,1,1,0,0,0,0,105,0.06666666666666667,1
PR,ABATIA,2023-11-01,2023,11,0,0,0,0,0,0,106,0.07547169811320754,0
PR,ABATIA,2023-12-01,2023,12,0,0,0,0,0,0,107,0.07476635514018691,0
PR,ABATIA,2024-01-01,2024,1,0,0,0,0,0,0,108,0.07407407407407407,0
PR,ABATIA,2024-02-01,2024,2,0,0,0,0,0,0,109,0.07339449541284404,0
PR,ABATIA,2024-03-01,2024,3,0,0,0,0,0,0,110,0.07272727272727272,0
PR,ABATIA,2024-04-01,2024,4,0,0,0,0,0,0,111,0.07207207207207207,0
PR,ABATIA,2024-05-01,2024,5,0,0,0,0,0,0,112,0.07142857142857142,0
PR,ABATIA,2024-06-01,2024,6,0,0,0,0,0,0,113,0.07079646017699115,0
PR,ABATIA,2024-07-01,2024,7,0,0,0,0,0,0,114,0.07017543859649122,0
PR,ABATIA,2024-08-01,2024,8,1,1,0,0,0,0,115,0.06956521739130435,1
PR,ABATIA,2024-09-01,2024,9,0,0,0,0,0,0,116,0.07758620689655173,0
PR,ABATIA,2024-10-01,2024,10,0,0,0,0,0,0,117,0.07692307692307693,0
PR,ABATIA,2024-11-01,2024,11,0,0,0,0,0,0,118,0.07627118644067797,0
PR,ABATIA,2024-12-01,2024,12,0,0,0,0,0,0,119,0.07563025210084033,0
PR,ABATIA,2025-01-01,2025,1,0,0,0,0,0,0,120,0.075,0
PR,ABATIA,2025-02-01,2025,2,0,0,0,0,0,0,121,0.0743801652892562,0
PR,ABATIA,2025-03-01,2025,3,1,1,0,0,0,0,122,0.07377049180327869,1
PR,ABATIA,2025-04-01,2025,4,0,0,0,0,0,0,123,0.08130081300813008,0
PR,ABATIA,2025-05-01,2025,5,0,0,0,0,0,0,124,0.08064516129032258,0
PR,ABATIA,2025-06-01,2025,6,0,0,0,0,0,0,125,0.08,0
PR,ABATIA,2025-07-01,2025,7,0,0,0,0,0,0,126,0.07936507936507936,0
PR,ABATIA,2025-08-01,2025,8,0,0,0,0,0,0,127,0.07874015748031496,0
PR,ABATIA,2025-09-01,2025,9,0,0,0,0,0,0,128,0.078125,0
PR,ABATIA,2025-10-01,2025,10,0,0,0,0,0,0,129,0.07751937984496124,0
PR,ABATIA,2025-11-01,2025,11,0,0,0,0,0,0,130,0.07692307692307693,0
PR,ABATIA,2025-12-01,2025,12,0,0,0,0,0,0,131,0.07633587786259542,0
PR,ADRIANOPOLIS,2015-01-01,2015,1,0,0,0,0,0,0,0,,
PR,ADRIANOPOLIS,2015-02-01,2015,2,0,0,0,0,0,0,1,0.0,0
PR,ADRIANOPOLIS,2015-03-01,2015,3,0,0,0,0,0,0,2,0.0,0
PR,ADRIANOPOLIS,2015-04-01,2015,4,0,0,0,0,0,0,3,0.0,0
PR,ADRIANOPOLIS,2015-05-01,2015,5,0,0,0,0,0,0,4,0.0,0
PR,ADRIANOPOLIS,2015-06-01,2015,6,0,0,0,0,0,0,5,0.0,0
PR,ADRIANOPOLIS,2015-07-01,2015,7,0,0,0,0,0,0,6,0.0,0
PR,ADRIANOPOLIS,2015-08-01,2015,8,0,0,0,0,0,0,7,0.0,0
PR,ADRIANOPOLIS,2015-09-01,2015,9,0,0,0,0,0,0,8,0.0,0
PR,ADRIANOPOLIS,2015-10-01,2015,10,0,0,0,0,0,0,9,0.0,0
