"Year","Source","Size"
"2015","C:\Users\graci\Downloads\BancoVDE 2015.xlsx","25001251"
"2016","C:\Users\graci\AppData\Local\Temp\MicrosoftEdgeDownloads\8b6e6d38-ef5c-4119-9424-66f698e3dd14\BancoVDE 2016.xlsx","26163270"
"2017","C:\Users\graci\AppData\Local\Temp\MicrosoftEdgeDownloads\0b5e5418-2a6c-42f9-afbe-349c69641bd0\BancoVDE 2017.xlsx","24037643"
"2018","C:\Users\graci\AppData\Local\Temp\MicrosoftEdgeDownloads\cceb4b41-c7a9-44fd-bd42-7934c887dfc1\BancoVDE 2018.xlsx","24134027"
"2019","C:\Users\graci\AppData\Local\Temp\MicrosoftEdgeDownloads\11825a48-ab59-4300-9f00-4596986ae528\BancoVDE 2019.xlsx","24230741"
"2020","C:\Users\graci\AppData\Local\Temp\MicrosoftEdgeDownloads\b4b412b8-033f-49ec-a80e-963345744319\BancoVDE 2020.xlsx","24285293"
"2021","C:\Users\graci\AppData\Local\Temp\MicrosoftEdgeDownloads\de4e3e1e-42f2-42f2-bebc-7b8d42126a0a\BancoVDE 2021.xlsx","24343074"
"2022","C:\Users\graci\AppData\Local\Temp\MicrosoftEdgeDownloads\8c9e0779-4cd7-4888-8d19-f9fe6fc27f9c\BancoVDE 2022.xlsx","24357417"
"2023","C:\Users\graci\AppData\Local\Temp\MicrosoftEdgeDownloads\49dca613-606f-438f-8ead-7c05fd518a04\BancoVDE 2023.xlsx","24374430"
"2024","C:\Users\graci\AppData\Local\Temp\MicrosoftEdgeDownloads\026481e6-d6a2-4f28-9c78-be3fb60277bd\BancoVDE 2024.xlsx","24387438"
"2025","C:\Users\graci\AppData\Local\Temp\MicrosoftEdgeDownloads\38d16267-f5e9-4a70-a373-5d8cc8dbe8aa\BancoVDE 2025.xlsx","26643195"
"2026","C:\Users\graci\AppData\Local\Temp\MicrosoftEdgeDownloads\65942c08-08aa-4b9b-a893-0c0299818cb3\BancoVDE 2026.xlsx","15699589"
